Name	rgb1	rgb2	rgb3	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
'singles-BM0828-HSC-fresh-151027-34'	0	0.266666667	0.105882353	1.333681028	2.136486556	1.914357113	-0.846941333	-0.898146978	0.646987616	-0.043075805	-0.137199115	0.089362351	0.008134651
'singles-BM0828-HSC-fresh-151027-35'	0	0.266666667	0.105882353	1.50526159	1.755053565	0.965833881	-0.905778352	-0.585546285	0.989002481	0.158675879	0.409874713	0.181089702	0.037547752
'singles-BM0828-HSC-fresh-151027-37'	0	0.266666667	0.105882353	1.764800442	1.81019187	2.396969685	-0.880691549	-1.090362588	-0.039003199	0.161930291	0.220275616	-0.242869397	-0.003732527
'singles-BM0828-HSC-fresh-151027-38'	0	0.266666667	0.105882353	2.706258309	1.618831544	2.106131667	-0.357699866	-0.887663338	-0.076057329	-0.055636326	-0.036934366	-0.036865993	0.018298562
'singles-BM0828-HSC-fresh-151027-39'	0	0.266666667	0.105882353	1.707392928	1.744538834	2.340034572	-0.909239783	-0.973168659	0.176715805	0.036581612	0.280454081	-0.203192	-0.028982217
'singles-BM0828-HSC-fresh-151027-40'	0	0.266666667	0.105882353	2.671998535	2.366085958	1.353118945	-0.146100368	-0.375177114	0.377024032	0.173499044	0.105700823	-0.105475652	-0.026849866
'singles-BM0828-HSC-fresh-151027-41'	0	0.266666667	0.105882353	2.960413854	0.864133036	0.519671114	-0.454870699	0.313659815	0.531285698	-0.291329148	0.230530636	0.23544641	-0.012782173
'singles-BM0828-HSC-fresh-151027-42'	0	0.266666667	0.105882353	2.384635333	1.667367606	2.227153348	-0.459038495	-0.937202348	-0.103203042	0.088779927	0.199556922	-0.276175433	-0.08257023
'singles-BM0828-HSC-fresh-151027-43'	0	0.266666667	0.105882353	2.133547079	1.604806403	0.640482734	-1.279243286	-0.618305967	0.586776958	-0.015523775	0.061486855	0.436761113	0.006876347
'singles-BM0828-HSC-fresh-151027-44'	0	0.266666667	0.105882353	2.992888442	0.020240781	2.345672495	-0.204483072	-0.324558105	-0.493615408	-0.091359291	0.201448909	-0.413482653	-0.040070233
